Creator,Created,Playlist Name,Share Code,Description
AnimaAim,2025-09-30,"sythrine goat",KovaaKsTrackingWhiteInitiator,"@animacantaim"
AnimaAim,2025-09-14,"bee angle smoothness",KovaaKsBoomstickingShamrockTag,"@animacantaim"
AnimaAim,2025-08-28,"bee goat playlist",KovaaKsBoomstickingNerfedNuns,"@animacantaim"
AnimaAim,2025-07-23,"shin routine",KovaaKsScreamingRareTopfrag,"@animacantaim"
AnimaAim,2025-07-20,"markezz routine",KovaaKsDeathballingShamrockPog,"@animacantaim"
AnimaAim,2025-07-16,"Anima Micro Benchmark v2",KovaaKsGhostpeekingCobaltIntelligence,"@animacantaim on twt  NEW AND IMPROVED!! Massive thanks to @sillydomi and @m0narcS for all the help with creating this <3"
AnimaAim,2025-06-23,"Average Active AIMER",KovaaKsChattingMediumForcebuy,"NO WAITING GO FAST @animacantaim "
AnimaAim,2025-05-01,"MM - Click Timing",KovaaKsChattingSalmonSniper,"Get your coaching: @emsyraine twt; playlist built by @animacantaim twt"
AnimaAim,2025-05-01,"MM - Micro Adjustments",KovaaKsChatfraggingSalmonBsp,"Get your coaching: @emsyraine twt; playlist built by @animacantaim twt"
AnimaAim,2025-05-01,"MM - Reactivity x Target Reading ",KovaaKsChallengingRoyalpurpleEngine,"Get your coaching: @emsyraine twt; playlist built by @animacantaim twt"
AnimaAim,2025-05-01,"MM - Stability",KovaaKsCarryingRockyMap,"Get your coaching: @emsyraine twt; playlist built by @animacantaim twt"
AnimaAim,2025-05-01,"MM - Target Confirmation",KovaaKsCapturingRedTile,"Get your coaching: @emsyraine twt; playlist built by @animacantaim twt"
AnimaAim,2025-04-28,"raine val Reactivity x Target Reading ",KovaaKsDunkingApricotUfo,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine val Target Reading",KovaaKsCapturingHugeExitfragger,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine val Target Confirmation",KovaaKsCampingHorizontalNerf,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine val Stability",KovaaKsCamouflagingHardWall,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine val Click Timing",KovaaKsCallingHardChallenge,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine val Micro Adjustments",KovaaKsBuyingGreenFlashbang,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine Target Reading",KovaaKsBouncingGooshedClient,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine Target Confirmation",KovaaKsBottingGoodGhostpeeker,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine Stability",KovaaKsBoomstickingGoldenrodQuest,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine Micro Adjustments",KovaaKsBombingGoldenrodAttrition,"@animacantaim @emsyraine"
AnimaAim,2025-04-28,"raine Click Timing",KovaaKsBobbingGoldenochreDeathball,"@animacantaim @emsyraine"
AnimaAim,2025-04-25,"MIRA x Anima Clicking Fundamentals",KovaaKsCampingCloseCatalyst,"@miradivision @animacantaim"
AnimaAim,2025-04-25,"MIRA x Anima Tracking Fundamentals",KovaaKsCamouflagingClippyFireteam,"@miradivison @animacantaim"
AnimaAim,2025-04-17,"MIRA x Anima Switching Fundamentals",KovaaKsImpactingNerfedAntieco,"@miradivision @animacantaim"
AnimaAim,2025-04-13,"PuriTy val warmup",KovaaKsSnipingBrightTimewarp,""
AnimaAim,2025-04-12,"anima evasiveTS favourites",KovaaKsStrafingCeruleanBunnyhop,"@animacantaim - @sillydomi helped too <3"
AnimaAim,2025-04-12,"anima linear favourites",KovaaKsPoppingNavyblueDink,"@animacantaim"
AnimaAim,2025-04-12,"anima control favourites",KovaaKsPeakingMidnightblueTag,"@animacantaim"
AnimaAim,2025-04-09,"anima dynamic favourites",KovaaKsCheatingMaximumblueTile,"@animacantaim"
AnimaAim,2025-03-30,"staticandspeedbrrrrrr",KovaaKsCrankingFantasticBot,""
AnimaAim,2025-02-27,"Valorant Routine for Balax",KovaaKsPatrollingJumpyContracts,"@animacantaim twt"
AnimaAim,2025-01-01,"control",KovaaKsResettingStaticPog,""
AnimaAim,2024-11-08,"flappOW SPEED",KovaaKsPushingRangedFaction,""
AnimaAim,2024-10-28,"air air air air",KovaaKsTaggingJumboClear,""
AnimaAim,2024-09-16,"anima TacFPS micro heaven (hard)",KovaaKsPerfectingCobaltBsp,"@animacantaim"
AnimaAim,2024-09-16,"anima TacFPS micro heaven (easy)",KovaaKsPeekingClutchEngine,"@animacantaim"
AnimaAim,2024-09-12,"anima TacFPS control (easy)",KovaaKsPingingAquamarineSniper,""
AnimaAim,2024-09-12,"anima TacFPS control (hard)",KovaaKsPickingAquamarineBsp,"@animacantaim"
AnimaAim,2024-09-12,"anima TacFPS control (hard) ",KovaaKsPerfectingApricotEngine,"@animacantaim"
AnimaAim,2024-09-12,"anima TacFPS fluidity and smoothness (hard) ",KovaaKsPeekingAntiquebrassMap,"@animacantaim"
AnimaAim,2024-09-12,"anima TacFPS fluidity and smoothness (hard)",KovaaKsPeakingAngelicTile,"@animacantaim"
AnimaAim,2024-09-12,"anima tacFPS fluidity and smoothness (easy)",KovaaKsPatrollingAngelicCamper,""
AnimaAim,2024-09-12,"anima tacFPS fluidity and smoothness",KovaaKsParachutingAlmondFamas,"@animacantaim"
AnimaAim,2024-08-31,"anima micro benchmark",KovaaKsScreamingBrickredFrenzy,"@animacantaim"
AnimaAim,2024-08-30,"snowi perfected",KovaaKsExitfraggingJitteryPerk,""
AnimaAim,2024-08-26,"Most to least played",KovaaKsCheatingCloseOptic,""
AnimaAim,2024-07-30,"Voltaic Benchmarks SEASON 3",KovaaKsTaggingGoatedPatrol,""
AnimaAim,2024-07-15,"Anima Valorant Warmup",KovaaKsFeedingShamrockHip,""
AnimaAim,2024-04-28,"Anima Fortnite Fundamentals",KovaaKsRevolvingAlmondIdentity,"made for a friend  @animacantaim twt"
AnimaAim,2024-03-24,"New Playlist",KovaaKsClearingExtraCt,""
